X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
492102.703052079,6659889.69653796,9138,VELOSTATION,ENKELZIJDIG,PLEIN,Koningin Astridplein,31-32,,Antwerpen,2018,VE_0000001,IN_GEBRUIK,33,001 Centraal Station - Astrid
490492.437788193,6659979.52928214,9139,VELOSTATION,ENKELZIJDIG,VOETPAD,Meir,18,,Antwerpen,2000,VE_0000018,IN_GEBRUIK,36,018 Meirbrug
491373.783358915,6659991.91970817,9140,VELOSTATION,DUBBELZIJDIG,VOETPAD,Leysstraat, 27,,Antwerpen,2000,VE_0000025,IN_GEBRUIK,36,025 Teniersplaats
493207.235655583,6660053.47961178,9141,VELOSTATION,ENKELZIJDIG,VOETPAD,Kerkstraat,58,,Antwerpen,2060,VE_0000109,IN_GEBRUIK,21,109 Kerkstraat
494106.593660962,6660059.4809912,9142,VELOSTATION,ENKELZIJDIG,VOETPAD,Vercammenstraat,3,thv helmstraat,Borgerhout,2140,VE_0000113,IN_GEBRUIK,27,113 Helmstraat
489255.526342274,6660096.43301874,9143,VELOSTATION,DUBBELZIJDIG,PLEIN,Plantinkaai,,to st-jansvliet zuiderterras,Antwerpen,2000,VE_0000064,IN_GEBRUIK,36,064 Zuiderterras
491847.493894072,6660671.58382513,9144,VELOSTATION,DUBBELZIJDIG,PLEIN,Osystraat,,verplaatst van Italielei naar  Osystraat,Antwerpen,2000,VE_0000011,IN_GEBRUIK,36,011 Roosevelt
489444.440363234,6660492.79400742,9145,VELOSTATION,ENKELZIJDIG,GROENZONE,Ernest Van Dijckkaai,11-12,to 11-12 zuiderterras,Antwerpen,2000,VE_0000059,IN_GEBRUIK,36,059 Het Steen
490103.912906285,6660584.49354816,9146,VELOSTATION,DUBBELZIJDIG,VOETPAD,Wolstraat,2,thv korte koepoortstraat,Antwerpen,2000,VE_0000057,IN_GEBRUIK,18,057 Wolstraat
492117.001473213,6660602.80535311,9147,VELOSTATION,ENKELZIJDIG,PLEIN,De Coninckplein,26,to 26,Antwerpen,2060,VE_0000032,IN_GEBRUIK,27,032 Permeke
493565.129775294,6660668.66148669,9148,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Pesthofstraat,7,to 7,Antwerpen,2060,VE_0000114,IN_GEBRUIK,21,114 ZNA Stuivenberg
490314.881661078,6660692.53028925,9149,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Minderbroedersrui,46,,Antwerpen,2000,VE_0000056,IN_GEBRUIK,30,056 Minderbroedersrui
492511.32977893,6660797.01065274,9150,VELOSTATION,ENKELZIJDIG,VOETPAD,Sint-Elisabethstraat,63,thv greinstraat,Antwerpen,2060,VE_0000115,IN_GEBRUIK,21,115 Metro Elisabeth
489703.017693389,6661074.911513,9151,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Jordaenskaai,,to saucierstraat,Antwerpen,2000,VE_0000058,IN_GEBRUIK,30,058 Noorderterras
491164.943422553,6661182.48780942,9152,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Paardenmarkt,90,thv kleine kauwenberg,Antwerpen,2000,VE_0000053,IN_GEBRUIK,21,053 Paardenmarkt
493878.770286914,6661137.64299562,9153,VELOSTATION,ENKELZIJDIG,VOETPAD,Pothoekstraat,122,to 122,Antwerpen,2060,VE_0000122,IN_GEBRUIK,21,122 Schijnpoort
491853.239580069,6661277.17954842,9154,VELOSTATION,ENKELZIJDIG,PLEIN,Sint-Jansplein,17,to 17,Antwerpen,2060,VE_0000117,IN_GEBRUIK,30,117 Sint-Jansplein
491096.370534969,6661749.13766467,9155,VELOSTATION,DUBBELZIJDIG,VOETPAD,Entrepotkaai,15,verplaatst van italielei nr Entrepotkaai,Antwerpen,2000,VE_0000052,IN_GEBRUIK,36,052 Waaslandtunnel
489900.539125639,6661341.81611264,9156,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Sint-Pietersvliet,,thv tolhuis,Antwerpen,2000,VE_0000049,IN_GEBRUIK,27,049 Tolhuis
490877.399943704,6661403.81960472,9157,VELOSTATION,ENKELZIJDIG,VOETPAD,Hessenplein,2,,Antwerpen,2000,VE_0000033,IN_GEBRUIK,21,033 Hessenhuis
